"Block Group","Census Tract","County","State","total_population","total_hous_units","total_occ_hous_units","total_vac_hous_units","total_own_occ_units","total_rent_occ_units","total_for_rent_units","total_rented_non_occ","total_for_sale_units","total_sold_non_occ_units","med_rent_over_income","owner_hous_val_25th_per","owner_hous_val_50th_per","owner_hous_val_75th_per","med_owner_cost_mortg","med_owner_cost_no_mortg","med_cost_over_income_mortg","med_cost_over_income_no_mortg","med_hous_cost","med_fam_income","med_non_fam_income","med_rent_0_bed","med_rent_1_bed","med_rent_2_bed","med_rent_3_bed","med_rent_4_bed","med_rent_5_plus_bed","med_rent","tot_white","tot_black","tot_native","tot_asian","tot_pacific","tot_other","tot_two_plus","median_age","median_male_age","median_female_age","tot_households","family_households","family_married_households","family_other_households","non_family_households","non_family_households_alone","non_family_households_not_alone","two_person_family","three_person_family","four_person_family","five_person_family","six_person_family","seven_plus_person_family","one_person_nonfamily","two_person_nonfamily","three_person_nonfamily","four_person_nonfamily","five_person_nonfamily","six_person_nonfamily","seven_plus_person_nonfamily","labor_force","civilian_labor_force","civilian_labor_force_employ","civilian_labor_force_unemploy","military_labor_force","non_labor_force","agg_income_deficit","agg_income_deficit_married","agg_income_deficit_nonmarried","agg_income_deficit_no_wife","agg_income_deficit_no_husband","median_household_income","median_hh_income_own","median_hh_income_rent","no_schooling_completed","nursery_school","kindergarten","first_grade","second_grade","third_grade","fourth_grade","fifth_grade","sixth_grade","seventh_grade","eigth_grade","ninth_grade","tenth_grade","eleventh_grade","twelfth_grade_no_diploma","regular_high_school_diploma","ged_or_alternative_credential","some_college_less_than_1_year","some_college_1_or_more_years_no_degree","associates_degree","bachelors_degree","masters_degree","professional_school_degree","doctorate_degree","commute_car_truck_or_van","commute_drove_alone","commute_carpooled","commute_in_2_person_carpool","commute_in_3_person_carpool","commute_in_4_person_carpool","commute_in_5_or_6_person_carpool","commute_in_7_or_more_person_carpool","commute_public_transportation_excluding_taxicab","commute_bus_or_trolley_bus","commute_streetcar_or_trolley_car","commute_subway_or_elevated","commute_railroad","commute_ferryboat","commute_taxicab","commute_motorcycle","commute_bicycle","commute_walked","commute_other_means","commute_worked_at_home","hh_income_less_than_10000","hh_income_10000_to_14999","hh_income_15000_to_19999","hh_income_20000_to_24999","hh_income_25000_to_29999","hh_income_30000_to_34999","hh_income_35000_to_39999","hh_income_40000_to_44999","hh_income_45000_to_49999","hh_income_50000_to_59999","hh_income_60000_to_74999","hh_income_75000_to_99999","hh_income_100000_to_124999","hh_income_125000_to_149999","hh_income_150000_to_199999","hh_income_200_000_or_more","workers_no_vehicle_available","workers_1_vehicle_available","workers_2_vehicles_available","workers_3_vehicles_available","workers_4_vehicles_available","workers_5_plus_vehicles_available"
"Block Group 2","Census Tract 113.06","St. Joseph County","Indiana",827,280,255,25,220,35,0,0,0,0,NA,108600,144000,223500,1083,383,14.5,10,NA,79659,50795,NA,NA,NA,NA,NA,NA,NA,815,0,0,0,0,12,0,38.1,37.7,40.2,255,187,167,20,68,68,0,86,18,30,11,26,16,68,0,0,0,0,0,0,285,285,275,10,0,247,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,16,0,0,9,0,107,9,36,42,58,116,95,11,23,261,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,10,9,0,9,19,0,0,18,0,32,46,28,14,26,33,11,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 113.06","St. Joseph County","Indiana",720,297,297,0,274,23,0,0,0,0,NA,138300,162700,213400,1158,300,14.6,10,NA,86923,NA,NA,NA,NA,NA,NA,NA,NA,681,32,7,0,0,0,0,56.9,58.6,56.1,297,218,208,10,79,54,25,142,42,17,9,8,0,54,25,0,0,0,0,0,398,398,380,18,0,285,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,10,0,0,0,9,155,0,21,109,42,164,70,18,0,371,360,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,20,29,11,9,8,10,0,10,20,7,74,30,0,35,34,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 113.06","St. Joseph County","Indiana",1322,646,618,28,595,23,0,0,0,0,21.3,209500,287100,488700,2553,591,20.5,10,NA,155469,71000,NA,NA,NA,NA,NA,NA,1063,1166,36,0,91,0,13,16,58,55.2,58.5,618,396,374,22,222,203,19,258,27,97,14,0,0,203,19,0,0,0,0,0,654,654,623,31,0,469,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,186,10,76,32,69,246,236,102,76,522,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,74,18,19,9,11,18,0,30,27,10,44,64,25,58,27,98,160,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 1","St. Joseph County","Indiana",665,314,273,41,81,192,13,15,0,0,35.6,75900,83700,92100,881,383,25.1,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,298,245,397,0,18,0,0,5,26.8,26.6,28.5,273,131,52,79,142,110,32,65,5,33,22,0,6,110,32,0,0,0,0,0,244,244,197,47,0,190,812700,NA,812700,NA,812700,NA,NA,NA,5,0,0,0,0,9,0,0,0,6,26,14,38,30,18,56,35,22,93,7,2,24,9,0,156,130,26,26,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,13,109,19,26,0,6,7,40,12,0,11,13,12,0,6,12,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 1","St. Joseph County","Indiana",609,276,262,14,182,80,0,0,14,0,28,62600,69800,79900,768,282,20.7,10.5,NA,46146,26364,NA,NA,NA,NA,NA,NA,852,351,218,0,0,0,0,40,42.6,41.1,43.1,262,136,77,59,126,126,0,39,51,38,2,6,0,126,0,0,0,0,0,0,330,330,288,42,0,159,NA,NA,NA,NA,NA,NA,NA,NA,9,0,0,0,0,19,0,0,25,0,0,6,20,13,25,107,14,11,89,21,17,22,0,0,259,245,14,8,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,25,17,12,40,17,19,28,4,28,30,22,11,9,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 1","St. Joseph County","Indiana",742,349,294,55,215,79,0,12,15,0,34.8,55100,64100,72200,706,279,13.5,10,NA,49375,34750,NA,NA,NA,NA,NA,NA,869,449,244,0,0,0,42,7,40.8,49,35.9,294,197,123,74,97,68,29,112,27,27,31,0,0,68,29,0,0,0,0,0,382,382,342,40,0,207,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,0,0,0,0,11,12,12,0,20,19,4,26,206,23,45,82,11,59,28,0,0,301,280,21,14,7,0,0,0,0,0,0,0,0,0,0,0,0,23,0,12,17,0,29,21,10,29,24,12,13,29,34,47,29,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 4","St. Joseph County","Indiana",1141,531,437,94,227,210,0,0,0,0,50,30500,44000,62100,670,NA,36,14.8,NA,25714,19856,NA,NA,NA,NA,NA,NA,835,367,625,10,0,0,54,85,33.3,25.9,36.7,437,268,91,177,169,119,50,149,27,65,13,8,6,119,50,0,0,0,0,0,441,441,388,53,0,374,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,8,15,0,41,30,23,59,7,220,12,21,138,46,27,4,0,0,315,240,75,16,59,0,0,0,50,50,0,0,0,0,0,0,0,19,0,0,93,51,59,47,19,60,45,9,4,0,36,0,14,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 4","St. Joseph County","Indiana",503,311,248,63,96,152,0,0,0,14,50,32000,50000,65700,839,322,15.4,16.6,NA,NA,21250,NA,NA,NA,NA,NA,NA,743,292,194,0,0,0,12,5,46.3,46.5,46.1,248,138,17,121,110,92,18,72,65,0,0,0,1,92,18,0,0,0,0,0,178,178,111,67,0,184,1393000,NA,1393000,NA,1393000,NA,NA,NA,0,0,0,0,0,0,14,0,14,0,43,18,21,13,17,103,0,22,71,5,13,6,0,0,93,77,16,16,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,119,9,6,23,38,25,6,0,0,8,9,0,0,0,5,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 4","St. Joseph County","Indiana",464,255,108,147,58,50,30,0,16,22,50,23500,40000,58100,1083,454,26.7,12.5,NA,NA,35625,NA,NA,NA,NA,NA,NA,865,178,244,0,0,0,0,42,26.3,23.5,26.5,108,76,42,34,32,26,6,5,12,22,9,28,0,26,0,0,6,0,0,0,236,236,173,63,0,128,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,0,0,0,0,0,0,6,20,12,152,18,21,0,0,16,10,0,0,167,92,75,75,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,26,4,4,18,0,0,12,0,7,6,31,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 12","St. Joseph County","Indiana",824,327,313,14,290,23,0,0,0,0,NA,96500,160600,245300,1204,433,15.8,10,NA,103500,56875,NA,NA,NA,NA,NA,NA,NA,802,13,0,0,0,0,9,36.7,34.9,39.1,313,190,176,14,123,100,23,85,29,25,20,26,5,100,23,0,0,0,0,0,399,399,394,5,0,185,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,0,0,0,0,0,6,0,0,0,7,0,5,40,0,20,53,34,152,107,61,48,310,262,48,14,26,8,0,0,7,7,0,0,0,0,0,0,17,19,0,36,11,19,11,6,10,5,0,23,0,21,37,55,28,19,11,57,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 12","St. Joseph County","Indiana",650,272,254,18,247,7,0,0,0,0,NA,112900,139900,189200,1135,434,14.8,10,NA,105833,28958,NA,NA,NA,NA,NA,NA,NA,543,77,0,0,0,30,0,37.4,33,43.7,254,174,156,18,80,75,5,91,37,15,18,4,9,75,5,0,0,0,0,0,401,401,386,15,0,120,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,10,6,0,5,19,6,30,32,8,187,85,16,41,360,309,51,51,0,0,0,0,0,0,0,0,0,0,0,0,5,13,0,8,6,0,0,13,31,0,0,0,0,22,47,27,53,17,26,12,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 12","St. Joseph County","Indiana",875,366,332,34,278,54,0,0,0,0,22.9,95800,120100,180300,1086,415,20.4,10,NA,64500,60978,NA,NA,NA,NA,NA,NA,1455,752,44,0,6,0,51,22,34.1,31.7,42,332,212,193,19,120,102,18,85,57,51,0,14,5,102,18,0,0,0,0,0,457,457,435,22,0,242,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,12,0,0,15,5,22,0,90,26,35,52,18,147,72,13,52,340,324,16,16,0,0,0,0,0,0,0,0,0,0,0,0,13,35,0,28,0,7,6,11,0,28,10,27,0,40,91,35,20,28,17,12,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 17","St. Joseph County","Indiana",740,640,549,91,11,538,77,14,0,0,28.5,NA,NA,NA,NA,NA,NA,NA,NA,16250,15893,NA,NA,NA,NA,NA,NA,383,462,255,0,6,0,0,17,61.2,52.7,63,549,24,14,10,525,496,29,18,6,0,0,0,0,496,29,0,0,0,0,0,262,262,245,17,0,459,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,16,21,28,17,27,141,69,117,120,16,53,31,9,34,142,128,14,8,6,0,0,0,68,68,0,0,0,0,7,0,0,8,0,20,95,157,90,77,16,19,8,29,5,27,11,10,5,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 20","St. Joseph County","Indiana",691,292,244,48,140,104,10,0,0,0,24.8,32500,61800,79200,888,332,47.3,37.4,NA,23125,16250,NA,NA,NA,NA,NA,NA,933,217,436,0,0,0,6,32,35.8,20.4,45.1,244,140,68,72,104,74,30,57,30,28,6,0,19,74,30,0,0,0,0,0,330,330,244,86,0,166,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,0,0,0,0,5,15,0,4,0,7,11,12,90,30,11,151,8,23,14,11,16,193,161,32,32,0,0,0,0,21,21,0,0,0,0,0,0,17,0,0,5,39,46,38,30,11,4,15,5,0,13,19,5,8,0,11,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 17","St. Joseph County","Indiana",632,326,231,95,77,154,51,14,0,0,26.6,64600,95800,152100,913,NA,26.8,NA,NA,62708,27784,NA,NA,NA,NA,NA,NA,627,323,273,16,9,0,0,11,39.9,36.1,44.3,231,96,50,46,135,108,27,26,35,23,12,0,0,108,5,17,5,0,0,0,263,263,223,40,0,273,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,23,0,0,0,0,0,0,32,27,0,134,46,35,62,5,39,45,0,3,173,121,52,15,16,21,0,0,13,11,0,0,2,0,0,0,15,12,0,5,54,10,5,5,55,5,5,5,6,5,39,18,8,6,5,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 20","St. Joseph County","Indiana",1173,534,494,40,12,482,40,0,0,0,28.4,28800,44000,65000,640,NA,23.8,NA,NA,10208,11941,NA,NA,NA,NA,NA,NA,241,254,738,9,0,0,32,140,29.4,17.9,29.5,494,229,32,197,265,251,14,91,38,58,14,15,13,251,14,0,0,0,0,0,335,335,246,89,0,382,NA,NA,NA,NA,NA,NA,NA,NA,15,0,0,0,5,0,0,0,0,11,39,5,47,0,17,49,93,125,124,44,14,0,0,0,162,103,59,59,0,0,0,0,37,37,0,0,0,0,0,8,12,17,0,10,204,97,65,9,55,18,22,4,0,17,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 21","St. Joseph County","Indiana",952,408,279,129,106,173,32,0,15,0,28,20400,25000,43500,444,246,18.3,15.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,784,225,560,14,0,0,109,44,22.8,26.4,20.9,279,255,47,208,24,24,0,45,92,66,34,8,10,24,0,0,0,0,0,0,388,388,261,127,0,194,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,22,20,0,0,0,0,0,0,36,62,7,129,43,26,50,54,0,10,0,0,229,202,27,27,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,25,59,53,11,0,6,48,59,0,13,12,0,18,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 21","St. Joseph County","Indiana",621,255,206,49,112,94,17,0,0,0,50,25300,30200,34400,789,230,48.9,13.2,NA,10671,11806,NA,NA,NA,NA,NA,NA,834,45,546,9,0,0,0,21,27.7,25.7,34.5,206,148,12,136,58,58,0,17,64,33,28,0,6,58,0,0,0,0,0,0,216,216,157,59,0,163,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7,0,0,0,0,0,18,20,32,35,13,74,86,26,20,14,28,0,4,2,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,73,71,0,18,5,6,6,6,0,14,0,7,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 3","Census Tract 22","St. Joseph County","Indiana",652,284,272,12,180,92,0,0,0,0,50,27700,42700,60600,771,252,24.2,10,NA,29773,23750,NA,NA,NA,NA,NA,NA,741,343,245,0,0,0,0,64,45.2,45,46.1,272,210,82,128,62,52,10,142,29,7,32,0,0,52,10,0,0,0,0,0,356,356,268,88,0,182,339800,189700,150100,NA,150100,NA,NA,NA,31,0,0,0,0,0,0,47,30,4,9,14,18,42,26,105,44,39,37,4,19,5,0,0,244,191,53,27,8,13,5,0,0,0,0,0,0,0,0,0,0,0,6,18,10,37,42,10,44,7,9,12,60,26,4,11,0,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 1","Census Tract 22","St. Joseph County","Indiana",1043,360,291,69,144,147,10,0,0,0,20.1,30700,46500,66300,787,240,33.8,11.1,NA,36250,35500,NA,NA,NA,NA,NA,NA,738,733,140,0,0,0,141,29,31.5,34.1,28.7,291,217,126,91,74,60,14,47,84,19,17,45,5,60,4,10,0,0,0,0,575,575,501,74,0,180,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,20,0,18,0,0,41,20,14,0,7,37,23,179,39,31,57,10,89,13,0,4,405,341,64,54,10,0,0,0,7,7,0,0,0,0,0,0,0,35,9,10,19,6,16,51,8,6,31,16,27,37,55,15,4,0,0,0,NA,NA,NA,NA,NA,NA
"Block Group 2","Census Tract 22","St. Joseph County","Indiana",654,199,133,66,106,27,9,11,0,10,48,26900,29800,63800,755,386,22.5,10,NA,45815,NA,NA,NA,NA,NA,NA,NA,722,538,55,0,0,0,61,0,33.4,28.9,35.1,133,107,76,31,26,23,3,12,14,13,18,25,25,23,3,0,0,0,0,0,224,224,198,26,0,175,NA,NA,NA,NA,NA,NA,NA,NA,14,0,0,0,0,0,0,0,4,0,34,28,20,41,8,96,48,29,35,5,6,0,0,0,192,148,44,39,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,4,5,0,9,33,30,8,9,0,5,9,0,0,NA,NA,NA,NA,NA,NA
"Block Group 4","Census Tract 22","St. Joseph County","Indiana",1040,263,231,32,170,61,9,0,10,0,23.6,28800,42000,48200,689,283,21.9,10,NA,42083,NA,NA,NA,NA,NA,NA,NA,977,480,112,9,0,5,434,0,19.8,18.7,22.4,231,193,89,104,38,33,5,77,12,11,16,40,37,33,5,0,0,0,0,0,401,401,374,27,0,261,NA,NA,NA,NA,NA,NA,NA,NA,19,0,0,0,0,20,21,0,79,0,0,35,0,40,5,111,29,10,49,21,7,4,0,0,349,228,121,97,6,18,0,0,9,9,0,0,0,0,0,0,0,0,11,0,0,5,0,35,31,21,0,15,25,40,18,27,0,0,0,14,NA,NA,NA,NA,NA,NA
