Outcome_Status,Direction,Street_Name,Suffix,Code_Enforcement_Order_Status,Property_Status,Program_Designation,Date_of_Outcome,Council_District,Zip_Code,ShapeSTArea,ShapeSTLength,OBJECTID,County_Tax_ID,State_Parcel_ID,Address_Number,Structures
,,O'Brien,ST,Repair Agreement,Repairs Pending,,,1,46628,5281.036804,344.6279687,24,018-2151-5608,71-03-34-457-016.000-026,1515,House
Demolished,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-27T00:00:00.000Z,1,46628,5100.66449,335.0331694,25,018-2152-5638,71-03-34-458-010.000-026,1420,House
Demolished,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2016,2016-11-09T00:00:00.000Z,1,46628,5227.547211,337.0021357,26,018-2152-5640,71-03-34-458-011.000-026,1414,House
Demolished,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-04-13T00:00:00.000Z,1,46628,5102.801086,335.1415198,27,018-2152-5626,71-03-34-458-004.000-026,1514,House
Repaired,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-01-13T00:00:00.000Z,1,46628,5101.904633,335.0953415,28,018-2152-5630,71-03-34-458-006.000-026,1506,
,,O'Brien,ST,Demo Hearing Scheduled,,,,,46628,5109.640381,317.1906854,29,018-2152-5644,71-03-34-458-025.000-026,1404,"House, Garage"
Repaired,N,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2017-04-24T00:00:00.000Z,,46637,5605.154907,359.0112365,30,018-2154-5696,71-03-34-481-009.000-026,1426,"House, Garage, Fence"
Demolished,N,College,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-02-22T00:00:00.000Z,1,46628,6615.858612,366.2929007,31,018-2154-5697,71-03-34-481-019.000-026,1427,"House, Garage, Fence"
Repaired,,College,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-04-23T00:00:00.000Z,1,46628,6749.613373,369.1375453,32,018-2154-5691,71-03-34-481-017.000-026,1509,
Demolished,,Medora,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,BEP,2016-04-28T00:00:00.000Z,1,46628,4936.765442,324.7909168,33,018-2159-5849,71-03-35-355-024.000-026,1421,"House, Garage, Fence"
Repaired,,Medora,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-11-05T00:00:00.000Z,1,46628,4787.561401,321.8797397,34,018-2159-5842,71-03-35-355-020.000-026,1509,"House, Garage, Fence"
,,Elwood,AVE,Executive Agreement,Repairs Pending,,,,46628,5044.99295,332.2507729,35,018-2159-5854,71-03-35-355-030.000-026,1523,House
Repaired,,King,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-01-13T00:00:00.000Z,1,46628,5163.865173,325.4281931,36,018-2182-6802,71-03-35-359-004.000-026,1329,
Repaired,,King,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-07-17T00:00:00.000Z,1,46628,5163.604218,326.7150876,37,018-2182-6800,71-03-35-359-002.000-026,1337,"House, Garage"
Repaired,,Elwood,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-18T00:00:00.000Z,1,46628,5967.087677,339.4586756,38,018-2182-6825,71-03-35-360-013.000-026,1317,
Demolished,,Elwood,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2016,2016-11-09T00:00:00.000Z,,46628,5159.005737,324.5508521,39,018-2182-6828,71-03-35-360-016.000-026,1305,"House, Garage, Fence"
,,College,ST,Demo Affirmed,Hold,,,1,46628,8540.991089,405.7273406,40,018-2124-4577,71-03-34-427-017.000-026,1849,House
Repaired,,Elwood,AVE,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-01-27T00:00:00.000Z,1,46628,5347.715973,329.1335813,41,018-2182-6826,71-03-35-360-014.000-026,1315,
Demolished,,McCartney,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-04-16T00:00:00.000Z,1,46616,5171.059448,337.1426878,42,018-2166-6067,71-03-35-378-013.000-026,1218,"House, Shed"
Demolished,,McCartney,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-16T00:00:00.000Z,1,46616,6131.965302,352.1326373,43,018-2166-6065,71-03-35-378-011.000-026,1226,House
Demolished,,King,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-04-06T00:00:00.000Z,1,46616,4964.990234,333.5803635,44,018-2166-6082,71-03-35-378-025.000-026,1205,"House, Shed, Fence"
Demolished,,McCartney,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-16T00:00:00.000Z,1,46616,5798.413208,347.0264708,45,018-2166-6066,71-03-35-378-012.000-026,1222,"House, Fence"
Demolished,,King,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-22T00:00:00.000Z,1,46616,4515.28006,313.5580523,46,018-2166-6090,71-03-35-379-007.000-026,1216,"House, Fence"
Demolished,N,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-13T00:00:00.000Z,1,46628,5455.808411,354.6173768,47,018-2156-5752,71-03-34-477-007.000-026,1634,"House, Garage"
,,Huey,ST,Demo Affirmed,Demo Process: Utility Retirements,,,1,46628,5107.975891,336.4997876,48,018-2149-5532,71-03-34-453-002.000-026,1654,"House, Garage"
Demolished,N,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-08-27T00:00:00.000Z,1,46628,4884.545929,328.4891222,49,018-2155-5713,71-03-34-476-017.000-026,1653,House
Repaired,,Roosevelt,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-11-06T00:00:00.000Z,1,46616,5157.526398,336.43335,50,018-2141-5304,71-03-35-329-016.000-026,1010,
Demolished,,Kinyon,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,BEP,2015-12-23T00:00:00.000Z,1,46616,4954.405701,333.0700483,51,018-2164-6004,71-03-35-376-009.000-026,1250,"House, Garage"
Repaired,,Kinyon,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-11-17T00:00:00.000Z,1,46616,5323.213135,338.5371916,52,018-2164-6006,71-03-35-376-011.000-026,1242,
Repaired,,Wilber,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-10-10T00:00:00.000Z,1,46628,5014.497894,332.3411924,53,018-2194-7276,71-03-34-479-025.000-026,1609,
Demolished,N,Olive,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-22T00:00:00.000Z,1,46628,4776.262817,317.8294234,54,018-2104-3903,71-03-34-332-019.000-026,1729,House
Demolished,,Wilber,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-22T00:00:00.000Z,1,46628,6032.04538,356.6268733,55,018-2194-7294,71-03-35-353-003.000-026,1614,House
Repaired,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2017-08-07T00:00:00.000Z,1,46628,5333.764893,337.9868459,56,018-2122-4514,71-03-34-408-014.000-026,1706,House
Demolished,,Huey,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-07-18T00:00:00.000Z,1,46628,4931.425659,334.3497814,57,018-2120-4421,71-03-34-403-012.000-026,1810,
Repaired,,Beale,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-09-06T00:00:00.000Z,1,46616,5168.947662,339.5405239,58,018-2144-5382,71-03-35-328-003.000-026,1126,
Repaired & Occupied,,Beale,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-11-20T00:00:00.000Z,1,46616,5221.723877,340.3493884,59,018-2144-5386,71-03-35-328-005.000-026,1118,"House, Fence"
Repaired,,Bergan,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-11-03T00:00:00.000Z,1,46628,38850.07382,866.7854938,60,018-2113-4131,71-03-34-206-017.000-026,2119,
,,Bergan,ST,Repair Deadline Expired,,,,,46628,14154.69022,476.996369,61,018-2113-413201,71-03-34-206-024.000-026,2005,"House, Garage, Fence"
Demolished,N,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-10-31T00:00:00.000Z,1,46628,6004.643829,372.3770781,62,018-2124-4556,71-03-34-281-002.000-026,1866,"House, Garage"
Repaired,,Huey,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-03-20T00:00:00.000Z,1,46628,5087.477081,334.9401479,63,018-2149-5550,71-03-34-453-013.000-026,1610,House
Demolished,,Queen,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-30T00:00:00.000Z,1,46616,5091.190704,332.837452,64,018-2165-6029,71-03-35-377-005.000-026,1250,
Repaired & Occupied,N,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-18T00:00:00.000Z,1,46628,4941.767731,329.2107822,65,018-2155-5735,71-03-34-476-028.000-026,1609,
Repaired,,Queen,ST,Demo Affirmed,Bid Awarded - Demolition,Bid Opening - Demo - Dec 12 2017,2015-09-23T00:00:00.000Z,1,46616,5006.289825,332.1482873,66,018-2165-6031,71-03-35-377-007.000-026,1240,House
Demolished,,Queen,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-04-16T00:00:00.000Z,1,46616,4950.552979,331.3532685,67,018-2165-6032,71-03-35-377-008.000-026,1238,House
Repaired,N,Olive,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-11-07T00:00:00.000Z,1,46628,4729.770508,317.9767666,68,018-2106-3960,71-03-34-378-021.000-026,1637,
,,Elmer,ST,Demo Affirmed,Demo Process: Utility Retirements,,,,46628,5230.069733,342.0683801,69,018-2147-5483,71-03-34-451-020.000-026,1637,House
Demolished,N,Elmer,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-27T00:00:00.000Z,1,46628,5129.901154,337.0490623,70,018-2148-5510,71-03-34-452-005.000-026,1638,House
Repaired,,Bergan,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-07-03T00:00:00.000Z,1,46628,13132.69858,464.364418,71,018-2116-4238,71-03-34-229-020.000-026,1735,
Demolished,,Roosevelt,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-22T00:00:00.000Z,1,46616,5172.267395,336.4904801,72,018-2162-5935,71-03-35-406-007.000-026,922,"House, Garage, Fence"
Repaired,,Fremont,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-06-23T00:00:00.000Z,1,46628,4717.335114,319.3919312,73,018-2106-3977,71-03-34-378-015.000-026,1602,"House, Shed, Fence"
Repaired,,Fremont,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-10-14T00:00:00.000Z,1,46628,5379.757324,348.9872196,74,018-2107-3982,71-03-34-379-017.000-026,1521,House
Demolished,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-05-22T00:00:00.000Z,1,46628,5183.426727,343.214436,75,018-2149-5537,71-03-34-453-019.000-026,1645,
Demolished,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2017-11-06T00:00:00.000Z,,46628,5103.78125,335.1891733,76,018-2152-5622,71-03-34-458-002.000-026,1522,House
Demolished,,McCartney,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,BEP,2015-12-16T00:00:00.000Z,1,46616,3589.719727,257.0582455,77,018-2165-6057,71-03-35-377-030.000-026,1201,"House, Garage"
Repaired,,Fremont,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-12-03T00:00:00.000Z,1,46628,5528.826996,351.1283819,78,018-2107-3980,71-03-34-379-016.000-026,1525,"House, Garage"
Demolished,,Huey,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-27T00:00:00.000Z,1,46628,5094.603821,334.7286352,79,018-2151-5590,71-03-34-457-001.000-026,1526,"House, Garage"
Demolished,,Johnson,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-07-11T00:00:00.000Z,1,46628,5002.513458,328.0421862,80,018-2122-4500,71-03-34-408-024.000-026,1727,
Demolished,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2016,2016-11-09T00:00:00.000Z,,46628,5437.14743,347.2232576,81,018-2151-5606,71-03-34-457-014.000-026,1521,"House, Garage"
Repaired,N,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2017-06-30T00:00:00.000Z,1,46628,5224.915466,334.8009386,82,018-2123-4540,71-03-34-426-023.000-026,1829,House
Repaired,,Queen,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-07-14T00:00:00.000Z,1,46616,5140.861267,335.6433605,83,018-2168-6148,71-03-35-381-004.000-026,1128,"House, Garage"
Demolished,,Queen,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,BEP,2015-12-15T00:00:00.000Z,1,46616,5151.037018,336.1449052,84,018-2168-6150,71-03-35-381-006.000-026,1118,House
Repaired,N,Olive,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-09-03T00:00:00.000Z,1,46628,4745.555695,318.2688507,85,018-2106-3970,71-03-34-378-026.000-026,1617,
Repaired,N,Elmer,ST,Repair Hearing Scheduled,,,2015-10-05T00:00:00.000Z,1,46628,6453.682831,358.1453895,86,018-2148-5504,71-03-34-452-002.000-026,1654,House
Demolished,,Keller,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-08-31T00:00:00.000Z,1,46628,5536.245911,348.7070802,87,018-2122-4516,71-03-34-407-029.000-026,2103,"House, Fence"
Demolished,,Johnson,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2014,2015-03-31T00:00:00.000Z,1,46628,5301.30246,332.5697219,88,018-2125-4627,71-03-34-430-015.000-026,1702,"House, Fence"
Repaired,N,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-18T00:00:00.000Z,1,46628,5304.24762,336.0829816,89,018-2125-4604,71-03-34-430-022.000-026,1733,
Demolished,,Johnson,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-02-22T00:00:00.000Z,1,46628,4957.606415,326.3530703,90,018-2155-5728,71-03-34-476-010.000-026,1622,"House, Garage, Fence"
Demolished,N,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening- Demo - Nov 19 2015,2016-03-26T00:00:00.000Z,1,46628,5516.790924,356.4474969,91,018-2156-5758,71-03-34-477-010.000-026,1622,House
Demolished,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-10-14T00:00:00.000Z,1,46628,5308.801056,345.4398108,92,018-2149-5553,71-03-34-453-024.000-026,1625,"House, Accessory"
Repaired,,Fremont,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-05-16T00:00:00.000Z,1,46628,5540.435394,352.8450293,93,018-2105-3934,71-03-34-377-020.000-026,1629,
Demolished,,Queen,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-22T00:00:00.000Z,1,46616,5364.265656,339.9872583,94,018-2167-6133,71-03-35-380-020.000-026,1125,
Repaired,,Queen,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-06-25T00:00:00.000Z,1,46616,5160.904785,336.6445696,95,018-2167-6138,71-03-35-380-025.000-026,1105,
Repaired,N,Fremont,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-06-12T00:00:00.000Z,1,46628,4902.172333,322.0990213,96,018-2106-3953,71-03-34-378-003.000-026,1650,
Repaired,,Fremont,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-11-18T00:00:00.000Z,1,46628,5521.445953,352.4556288,97,018-2105-3928,71-03-34-377-017.000-026,1641,
Repaired,N,Olive,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2017-01-03T00:00:00.000Z,1,46628,4774.414886,318.720601,98,018-2106-3958,71-03-34-378-020.000-026,1641,House
Repaired,,Huey,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-03-28T00:00:00.000Z,1,46628,5180.708527,337.3788632,99,018-2149-5538,71-03-34-453-005.000-026,1642,
Repaired,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-12-01T00:00:00.000Z,1,46628,5180.015503,335.73708,100,018-2150-5564,71-03-34-454-003.000-026,1650,House
Repaired,,Roosevelt,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2018-01-18T00:00:00.000Z,,46616,5152.312958,336.1779505,101,018-2141-5284,71-03-35-329-006.000-026,1114,"House, Fence"
Repaired,,Roosevelt,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-09-23T00:00:00.000Z,1,46616,5130.0513,335.1373258,102,018-2141-5298,71-03-35-329-013.000-026,1022,"House, Shed"
,,Keller,ST,Hearing Unnecessary,Continued Indefinitely,,,,46628,5524.992462,352.1059419,103,018-2105-3920,71-03-34-377-013.000-026,2504,"House, Garage"
Demolished,,Keller,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-08-31T00:00:00.000Z,1,46628,4966.171478,323.2779224,104,018-2106-3949,71-03-34-378-001.000-026,2424,"House, Shed"
Demolished,,Kinyon,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - Fall 2016,2016-11-09T00:00:00.000Z,1,46616,4980.209839,330.8836,105,018-2164-5985,71-03-35-307-019.000-026,1211,"House, Garage, Accessory"
Demolished,,Kinyon,,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-22T00:00:00.000Z,1,46616,5175.565521,335.3442449,106,018-2167-6111,71-03-35-330-032.000-026,1001,"House, Garage"
Repaired,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-11-09T00:00:00.000Z,1,46628,5335.361023,338.0641651,107,018-2122-4511,71-03-34-408-013.000-026,1710,"House, Garage"
Demolished,N,Elmer,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-10-24T00:00:00.000Z,1,46628,5332.565155,340.521912,108,018-2119-4407,71-03-34-406-015.000-026,1702,House
Demolished,,Parkview,PL,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-05-22T00:00:00.000Z,1,46616,4833.124115,320.6148858,109,018-2177-6610,71-03-35-105-009.000-026,2220,
Repaired,N,Elmer,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2013-09-26T00:00:00.000Z,1,46628,5344.116455,340.5421762,110,018-2119-4389,71-03-34-406-009.000-026,1726,
Demolished,,Roosevelt,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-09-19T00:00:00.000Z,1,46616,5217.79538,339.4642397,111,018-2162-593601,71-03-35-406-014.000-026,818,
Demolished,N,Huey,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-22T00:00:00.000Z,1,46628,5302.082153,339.5672952,112,018-2119-4391,71-03-34-407-008.000-026,1726,"House, Garage, Fence"
Repaired,,O'Brien,ST,Demo Affirmed,Demo Process: Utility Retirements,,2015-10-01T00:00:00.000Z,1,46628,5340.289093,338.2988388,113,018-2122-4499,71-03-34-408-009.000-026,1726,House
Repaired,N,Brookfield,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-04-23T00:00:00.000Z,1,46628,6138.787201,376.2699521,114,018-2125-4611,71-03-34-431-007.000-026,1726,
Repaired,,Huey,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-01-14T00:00:00.000Z,1,46628,5287.420563,340.4610906,115,018-2119-4384,71-03-34-406-019.000-026,1733,
Demolished,,O'Brien,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-08-15T00:00:00.000Z,1,46628,5442.159851,348.0277143,116,018-2122-4489,71-03-34-407-020.000-026,1737,
Demolished,N,Johnson,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-10-14T00:00:00.000Z,1,46628,4962.980255,327.6360874,117,018-2122-4491,71-03-34-408-021.000-026,1737,House
Demolished,,Huey,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2014-07-18T00:00:00.000Z,1,46628,7521.790894,374.4715285,118,018-2120-4417,71-03-34-403-009.000-026,1826,
,,Beale,ST,Demo Affirmed,Bid Awarded - Demolition,Bid Opening - Demo - Dec 12 2017,,1,46616,5191.689331,339.0184195,119,018-2144-5392,71-03-35-328-008.000-026,1106,"House, Fence"
Demolished,,Beale,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-16T00:00:00.000Z,1,46616,5281.781525,340.4183142,120,018-2144-5410,71-03-35-328-017.000-026,1006,House
Repaired & Occupied,W,Bryan,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2015-10-29T00:00:00.000Z,1,46616,5606.908112,342.7960356,121,018-2142-5310,71-03-35-327-001.000-026,1134,House
Demolished,,Bryan,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,Bid Opening - Demo - June 9 2015,2015-09-22T00:00:00.000Z,1,46616,5163.188629,336.6826115,122,018-2142-5324,71-03-35-327-008.000-026,1106,House
Repaired,,College,ST,In Compliance: Outcome Complete,In Compliance: Outcome Complete,,2016-10-26T00:00:00.000Z,1,46628,8087.69397,388.9729848,123,018-2127-4704,71-03-34-428-005.000-026,1834,"House, Garage"
